EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
905250,CRAWFORD CO.,CUBA AIRSTRIP ARPT,06/27/2020,1642,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,150143,C,55,LSX,0,0,Emergency Manager, ,0.76,100,2,WNW,1,WNW,CUBA AIRSTRIP ARPT,06/27/2020,1644,38.087,-91.457,38.088,-91.443,"A brief, weak tornado touched down in the early evening just to the northwest of Cuba, Missouri. The tornado first touched down to the west of Indian Lake, along Lakeshore Drive. The tornado did some minor damage to a roof on the west side of Lakeshore Drive. The worst of the damage occurred to two residences on the east side of Lakeshore Drive, on the west side of Indian Lake. A few trees were uprooted or snapped, and a home lost the majority of its roof. Additionally, a boat dock was completely flipped over. The tornado moved east across the lake, snapping a few other trees and doing some minor roof damage to a home along Indian Hills Drive. The tornado quickly lifted just before it hit Seminole Road. Additional tree damage and some minor house damage (a few shingles and siding peeled off) was noted along DD Highway well to the south and east of the damage near the lake. This damage was deemed to be straight line wind damage, caused by a surge in the rear flank downdraft of the thunderstorm. Overall the tornado was rated EF0 with a path length of 0.76 miles. The max path width was 100 yards. No deaths or injuries were reported with the tornado.","An MCV combined with a weak cold front produced storms across the region. Some of the storms became severe and produced two tornadoes.",12
905288,ST. FRANCOIS CO.,HURRYVILLE,06/27/2020,2014,Tornado, ,EF1,0,0,0,0,MO,CST-6, ,150143,C,187,LSX,0,0,Emergency Manager, ,0.74,125,1,NNE,2,NNE,HURRYVILLE,06/27/2020,2016,37.85,-90.461,37.858,-90.452,"A tornado rapidly developed near Hillsboro Road to the east of Park Hills, Missouri. This tornado initially caused sporadic tree damage to a grove of trees west of Hillsboro Road. As it approached Hillsboro Road, the tornado widened and became a bit stronger, causing EF-1 damage to a home by collapsing its southward facing exterior wall. Minor roof damage also occurred to another home, along with several trees that were snapped. The tornado then crossed Hillsboro Road and did some minor roof damage to an outbuilding on the east side of the roadway. The tornado lifted as it approached a large grove of trees on the eastern side of Hillsboro Road. Overall, the tornado was rated EF1 with a path length of 0.74 miles. The max path width was 125 yards. No deaths or injuries were reported.","An MCV combined with a weak cold front produced storms across the region. Some of the storms became severe and produced two tornadoes.",13
912249,CLAY CO.,SMITHVILLE,07/29/2020,1245,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,151373,C,47,EAX,0,0,Emergency Manager, ,0.27,20,2,S,2,S,SMITHVILLE,07/29/2020,1246,39.37,-94.5819,39.3738,-94.5829,"A weak storm moving north exhibited some enhanced low level rotation as it crossed a east to west oriented surface boundary. Several reports came to the office about a potential brief tornado in the Smithville area. Some video evidence was submitted and it was confirmed to be a brief tornado that caused no damage to the Smithville area.","On July 29-31, a mid level trough dug into the central part of the CONUS, and produced several rounds of moderate to heavy rain. The first day of this parade, the 29th, saw at least one confirmed brief tornado in the Smithville area. There was no damage from this tornado, as it was confirmed via video, not damage.",14
921336,PEMISCOT CO.,DEERING,09/01/2020,1514,Tornado, ,EF0,0,0,0,2000,MO,CST-6, ,152965,C,155,MEG,0,0,Public, ,2.1,50,1,S,1,NW,BRAGGADOCIO,09/01/2020,1521,36.18,-89.88,36.1948,-89.8472,"A tornado developed just south of Deering. The tornado moved east northeast on an intermittent path.  The tornado moved across open fields, and no structural damage was reported.","A mesoscale convective system tracked across the Missouri Bootheel and northwest Tennessee and into the TN River River by mid-afternoon on September 1st. In the wake of the departing mesoscale convective system, an isolated thunderstorm developed over the Missouri Bootheel and moved into Lake County, Tennessee. A couple of weak tornadoes occurred.",15
937939,CASS CO.,PECULIAR ARPT,03/15/2021,1612,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,155501,C,37,EAX,0,0,Storm Chaser, ,0.01,10,1,NNE,1,NNE,PECULIAR ARPT,03/15/2021,1612,38.7508,-94.3943,38.7508,-94.3943,"A storm that produced a weak tornado in eastern Johnson County Kansas moved into western Missouri and an eyewitness reported a brief touchdown near 203rd and HWY 291. No damage was reported.","A storm that produced a weak tornado in eastern Johnson County Kansas moved into western Missouri and an eyewitness reported a brief touchdown near 203rd and HWY 291. No damage was reported.",16
949238,BARRY CO.,EAGLE ROCK,03/17/2021,1630,Tornado, ,EF1,0,0,50000,0,MO,CST-6, ,156969,C,9,SGF,0,0,NWS Storm Survey, ,20.09,75,5,NW,3,ESE,WHEELERVILLE,03/17/2021,1719,36.6,-93.82,36.8201,-93.583,"A storm survey determined that a tornado with a maximum of EF-1 strength winds touched down initially five miles northeast of Eagle Rock and continued along an intermittent path of damage 25 miles long as it moved to the northeast. The majority of the damage path, 20 miles, was in Barry County before the tornado crossed into Stone County. Along its path the tornado topped or uprooted several hard and soft wood trees and damaged several outbuildings. The tornado crossed into Stone County along Farm Road 1250. The very rugged terrain precluded a full survey and lead to the intermittent designation.","A low pressure system deepened rapidly as it moved from southwest Kansas to southwest Missouri to southern Illinois. Strong to severe storms that developed over northern Oklahoma and central Kansas around midnight on the 17th pushed eastward into southeast Kansas and western Missouri by daybreak. Several of these storms produced hail to the size of quarters and wind gusts over 60 mph during the early morning. ||After the morning storms dissipated, with the loss of support from the nocturnal low level jet,  residual outflow boundaries and increasing lift from the approaching upper level low led to another round of intense storms that developed over northwest Arkansas and northeast Oklahoma during the mid afternoon and moved northeastward across southwest Missouri through the evening. These storms produced a few tornadoes over Barry and Stone Counties and hail up to 2 inches in diameter.",17
949240,STONE CO.,ELSEY,03/17/2021,1719,Tornado, ,EF1,0,0,10000,0,MO,CST-6, ,156969,C,209,SGF,0,0,Trained Spotter, ,3.64,50,3,SW,1,NE,ELSEY,03/17/2021,1730,36.8201,-93.583,36.86,-93.54,"A survey determined that a tornado with maximum strength of EF-1 touched down in Barry county and continued into Stone county. The tornado crossed into Stone County along Farm Road 1250 where a trailer home suffered minor roof damage. Several hard wood trees were uprooted or topped as the tornado moves northeast with some downed trees blocking Highways 413 and FF. The tornado then lifted three miles south of Hurley or just north of Elsey.","A low pressure system deepened rapidly as it moved from southwest Kansas to southwest Missouri to southern Illinois. Strong to severe storms that developed over northern Oklahoma and central Kansas around midnight on the 17th pushed eastward into southeast Kansas and western Missouri by daybreak. Several of these storms produced hail to the size of quarters and wind gusts over 60 mph during the early morning. ||After the morning storms dissipated, with the loss of support from the nocturnal low level jet,  residual outflow boundaries and increasing lift from the approaching upper level low led to another round of intense storms that developed over northwest Arkansas and northeast Oklahoma during the mid afternoon and moved northeastward across southwest Missouri through the evening. These storms produced a few tornadoes over Barry and Stone Counties and hail up to 2 inches in diameter.",18
955314,TANEY CO.,IKE,04/28/2021,830,Tornado, ,EF0,0,0,25000,0,MO,CST-6, ,157890,C,213,SGF,0,0,NWS Storm Survey, ,0.09,50,1,SE,1,ESE,IKE,04/28/2021,831,36.7392,-93.2499,36.7395,-93.2483,"A National Weather Service storm survey determined that an EF0 tornado with winds estimated at 70 mph briefly touched down. Along the very short 50 yard wide path, several trees were snapped and a home suffered minor damage.","Heavy rain developed over southern Missouri on the night of the 27th and continued through the evening of the 28th as a slow moving cold front moved across the region and interacted with a moist and unstable airmass over the region. Several inches of rain fell in a short period of time during the early morning of the 28th and led to flash flooding in Reeds Spring and at Roaring River State Park, where numerous campers were evacuated. Between 1.50 and 5 inches of rain fell across much of the Ozarks in a 24 hour period. Some readings indicated that as much as 2.5 inches of rain fell in about a 30 minute period In Barry and Stone Counties. In addition to the flooding, several brief tornadoes occurred in Barry, Christian and Douglas Counties.",19
955315,TANEY CO.,WALNUT SHADE,04/28/2021,837,Tornado, ,EF0,0,0,125000,0,MO,CST-6, ,157890,C,213,SGF,0,0,NWS Storm Survey, ,0.57,50,2,N,2,N,WALNUT SHADE,04/28/2021,841,36.7651,-93.2058,36.7656,-93.1956,"A National Weather Service storm survey determined that an EF0 tornado with estimated winds of 70 mph touched down with a path of a half mile in length and a width of 50 yards. Along the path of this brief touchdown, several snapped and uprooted trees were noted along with minor residential damage. One large tree was uprooted and fell onto a home causing significant damage.","Heavy rain developed over southern Missouri on the night of the 27th and continued through the evening of the 28th as a slow moving cold front moved across the region and interacted with a moist and unstable airmass over the region. Several inches of rain fell in a short period of time during the early morning of the 28th and led to flash flooding in Reeds Spring and at Roaring River State Park, where numerous campers were evacuated. Between 1.50 and 5 inches of rain fell across much of the Ozarks in a 24 hour period. Some readings indicated that as much as 2.5 inches of rain fell in about a 30 minute period In Barry and Stone Counties. In addition to the flooding, several brief tornadoes occurred in Barry, Christian and Douglas Counties.",20
955316,CHRISTIAN CO.,CHADWICK,04/28/2021,855,Tornado, ,EF0,0,0,5000,0,MO,CST-6, ,157890,C,43,SGF,0,0,NWS Storm Survey, ,0.42,50,5,SSW,4,SSW,CHADWICK,04/28/2021,859,36.8677,-93.1012,36.8732,-93.0982,"A National Weather Service storm survey determined that an EF0 tornado with winds estimated at 76 mph touched down and moved along a 50 yard wide, half mile long path. Numerous trees were uprooted and snapped and a shed was destroyed.","Heavy rain developed over southern Missouri on the night of the 27th and continued through the evening of the 28th as a slow moving cold front moved across the region and interacted with a moist and unstable airmass over the region. Several inches of rain fell in a short period of time during the early morning of the 28th and led to flash flooding in Reeds Spring and at Roaring River State Park, where numerous campers were evacuated. Between 1.50 and 5 inches of rain fell across much of the Ozarks in a 24 hour period. Some readings indicated that as much as 2.5 inches of rain fell in about a 30 minute period In Barry and Stone Counties. In addition to the flooding, several brief tornadoes occurred in Barry, Christian and Douglas Counties.",21
955317,DOUGLAS CO.,BLANCHE,04/28/2021,1013,Tornado, ,EF0,0,0,250000,0,MO,CST-6, ,157890,C,67,SGF,0,0,NWS Storm Survey, ,1.88,100,2,NW,1,SE,BUCKHART,04/28/2021,1019,36.8423,-92.3251,36.8642,-92.3047,"A National Weather Service storm survey determined that an EF0 tornado with maximum winds estimated at 85 mph moved along a 100 yard wide and 1.9 mile long path. The most significant damage was the destruction of a three car garage and several outbuildings near the start of the path. Minor damage occurred to three homes and numerous trees were snapped or uprooted.","Heavy rain developed over southern Missouri on the night of the 27th and continued through the evening of the 28th as a slow moving cold front moved across the region and interacted with a moist and unstable airmass over the region. Several inches of rain fell in a short period of time during the early morning of the 28th and led to flash flooding in Reeds Spring and at Roaring River State Park, where numerous campers were evacuated. Between 1.50 and 5 inches of rain fell across much of the Ozarks in a 24 hour period. Some readings indicated that as much as 2.5 inches of rain fell in about a 30 minute period In Barry and Stone Counties. In addition to the flooding, several brief tornadoes occurred in Barry, Christian and Douglas Counties.",22
947618,BOLLINGER CO.,HURRICANE,04/28/2021,1350,Tornado, ,EF1,0,0,0,0,MO,CST-6, ,156815,C,17,PAH,0,0,NWS Storm Survey, ,3.37,225,1,NNE,1,NW,MAYFIELD,04/28/2021,1358,37.4361,-90.0159,37.4644,-89.9658,"Damage was mainly to trees, with thousands of large trees snapped or uprooted. Near the beginning of the path, along Highway M, south of Patton, a tractor trailer was overturned. A smaller trailer and several farm items were blown around, such as a fuel tank and planks. Extensive tree damage began by the time the tornado reached County Road 346, with thousands of trees downed between County Road 346 and Missouri JJ Highway. A small shed was blown away just south of JJ Highway, where the tornado reached its maximum intensity and width. A mobile home lost some of its shingles and most of its underpinning as the tornado moved along and just north of JJ Highway. The tornado ended just northeast of the intersection of JJ Highway and County Road 366, where it downed several mainly small trees and removed some shingles from a garage.","The remnants of a squall line moved east across southeast Missouri in the form of a loosely organized cluster of storms. These storms moved along a poorly defined warm front, characterized by weak instability and 40 to 50 kt of effective bulk wind shear. There was sufficient low level wind shear for an isolated tornado. The Paducah, KY radar wind profile indicated 0-3 km storm-relative helicity was just over 150. As the storms progressed through this environment, they produced a couple damaging gusts and a tornado.",23
957572,PEMISCOT CO.,CONCORD,05/04/2021,155,Tornado, ,EF0,0,0,50000,0,MO,CST-6, ,158369,C,155,MEG,0,0,NWS Storm Survey, ,2.73,90,2,NE,3,ESE,STANLEY,05/04/2021,158,36.3001,-89.7007,36.3179,-89.657,"The tornado developed near Interstate 55 where it damaged a shop building and a grain bin. Debris from the shop building was carried approximately one-quarter mile downstream. Along County Road 121, the tornado uprooted trees, one of which fell onto a church. The tornado damaged residences and a grain bin along County Road 321. The last observed damage was to trees east of C.R. 321. Peak winds were estimated at 85 mph.","A moist and unstable airmass in place across the Mid-South helped to fuel severe storms ahead of an advancing cold front and deep upper-level trough swinging into the Central Plains. A line of severe storms moved from Arkansas across northern parts of the Mid-South during the early morning hours of May 4th. There was widespread wind damage and a few weak tornadoes.",24
949860,MISSISSIPPI CO.,DORENA,05/04/2021,219,Tornado, ,EF1,0,0,85000,0,MO,CST-6, ,157140,C,133,PAH,0,0,NWS Storm Survey, ,3.71,400,3,NNW,5,NNE,DORENA,05/04/2021,225,36.623,-89.262,36.641,-89.199,"The tornado began in open farmland, where it uprooted and snapped several large trees along Highway 77, then proceeded east-northeast toward the Mississippi River, damaging a pivot sprinkler system and totally destroying an equipment shed near the levee.  Many trees on the east side of the levee had trunks and limbs snapped, and some trees were uprooted. To the south of the tornado path, sporadic straight-line wind damage occurred to trees along Highway A (a levee road) and along County Road 507 (a levee road). Peak winds were estimated near 105 mph.","Clusters of storms, followed by a bowing line of thunderstorms, organized and accelerated east-northeastward during the overnight and wee morning hours. Several pockets of damaging winds accompanied the storms. In addition, a mesovortex along the bowing line of storms produced a tornado near the Mississippi River. A mid-level shortwave trough moved east across the southern Plains. A belt of stronger southwesterly 500 mb winds spread northeast ahead of the trough into southeast Missouri and Arkansas. Instability was sufficient for a round of severe thunderstorms to occur.",25
959955,DE KALB CO.,OSBORN,05/20/2021,1706,Tornado, ,EF0,0,0,5000,0,MO,CST-6, ,158767,C,63,EAX,0,0,Emergency Manager, ,0.88,50,5,E,5,ENE,OSBORN,05/20/2021,1707,39.753,-94.2773,39.7657,-94.2767,"Emergency management from DeKalb County notified the office that there were power poles and power lines down on two roads that are about a mile apart. The path of damage between these two roads was pretty narrow, and radar indicated some weak rotation, so a tornado was deemed the reason for the damage.","Within an area of scattered convection an isolated weak tornado formed and damaged power lines and power poles within a narrow south to north path on two west-east roads about a mile apart.",26
961937,POLK CO.,BOLIVAR MEM ARPT,05/27/2021,1051,Tornado, ,EF1,0,0,300000,0,MO,CST-6, ,158958,C,167,SGF,0,0,NWS Storm Survey, ,0.08,50,1,W,0,W,BOLIVAR MEM ARPT,05/27/2021,1052,37.6,-93.44,37.5998,-93.4385,"A National Weather Service survey determined that an EF1 tornado briefly touched down destroying a workshop building and causing significant damage to another. Several trees were uprooted and multiple travel trailers suffered minor damage. The tornado was very short lived but witnessed by multiple people. Maximum wind speeds with the tornado were estimated at 95 mph and a width of 50 yards.","Strong to severe storms with heavy rainfall developed during the late morning of the 27th in association with an upper low pressure system. Widespread flash flooding and wind damage occurred over the region through the late afternoon. There were two brief tornadoes that developed along the leading edge of a quasi-linear convective system (QLCS) to the southwest and southeast of Bolivar. Numerous reports of heavy rainfall between 1 and 4 inches were received across southwestern Missouri. Rainfall accumulations over 5 inches occurred in Joplin and led to flash flooding in the city. Another round of flash flooding occurred along Kelly Creek in Monett and several roadways were closed.",27
961938,POLK CO.,VAN,05/27/2021,1108,Tornado, ,EF1,0,0,75000,0,MO,CST-6, ,158958,C,167,SGF,0,0,NWS Storm Survey, ,1.17,50,1,NNE,2,SSW,HALF WAY,05/27/2021,1109,37.59,-93.29,37.5914,-93.2688,"A National Weather Service survey determined that an EF1 tornado touched down and traveled 1.2 miles with maximum estimated windspeeds of 95 mph. Along the path of the tornado a large hay barn was heavily damaged and multiple trees were uprooted. The width of the tornado was near 50 yards wide.","Strong to severe storms with heavy rainfall developed during the late morning of the 27th in association with an upper low pressure system. Widespread flash flooding and wind damage occurred over the region through the late afternoon. There were two brief tornadoes that developed along the leading edge of a quasi-linear convective system (QLCS) to the southwest and southeast of Bolivar. Numerous reports of heavy rainfall between 1 and 4 inches were received across southwestern Missouri. Rainfall accumulations over 5 inches occurred in Joplin and led to flash flooding in the city. Another round of flash flooding occurred along Kelly Creek in Monett and several roadways were closed.",28
967473,CLAY CO.,MISSOURI CITY,06/11/2021,1329,Tornado, ,EF0,0,0,0,0,MO,CST-6, ,159864,C,47,EAX,0,0,Public, ,0.03,15,2,ENE,2,ENE,MISSOURI CITY,06/11/2021,1330,39.2434,-94.2713,39.2436,-94.2709,"Someone driving along HWY 210 near Missouri City filmed a brief tornado in the field to the north of the highway. The visual appearance of the tornado was similar to a landspout, and with it being associated with a new updraft near a boundary, it was determined to be a landspout.","During the evening of June 11, a complex of thunderstorms ripped through eastern Kansas and western Missouri, including through the Kansas City Metro area. While the severe weather was fairly widespread, impacts were pretty low. There were some sporadic areas of enhanced wind where several reports of 80+ mph wind was received with wide swaths of tree destruction. The area with the highest concentration of the worst damage was in the Excelsior Springs area, where tens to hundreds of large healthy trees were destroyed, including at nearby Watkins Mill State Park. No injuries were reported, but the widespread nature of the damage and magnitude of the highest wind reports made this the biggest event of the severe weather season in the area.",29
